,Date,CloseSharePrice,model,office,candidate,win_prob
105,8/28/2020 12:00:00 AM,0.01,PredictIt,P,Warren,0.007633587786259542
106,8/28/2020 12:00:00 AM,0.01,PredictIt,P,Booker,0.007633587786259542
107,8/28/2020 12:00:00 AM,0.01,PredictIt,P,Kasich,0.007633587786259542
108,8/28/2020 12:00:00 AM,0.56,PredictIt,P,Biden,0.4274809160305344
109,8/28/2020 12:00:00 AM,0.01,PredictIt,P,Sanders,0.007633587786259542
110,8/28/2020 12:00:00 AM,0.01,PredictIt,P,Pence,0.007633587786259542
111,8/28/2020 12:00:00 AM,0.47,PredictIt,P,Trump,0.35877862595419846
112,8/28/2020 12:00:00 AM,0.01,PredictIt,P,Gillibrand,0.007633587786259542
113,8/28/2020 12:00:00 AM,0.01,PredictIt,P,Cuomo,0.007633587786259542
114,8/28/2020 12:00:00 AM,0.01,PredictIt,P,Cuban,0.007633587786259542
115,8/28/2020 12:00:00 AM,0.01,PredictIt,P,Zuckerberg,0.007633587786259542
116,8/28/2020 12:00:00 AM,0.01,PredictIt,P,Klobuchar,0.007633587786259542
117,8/28/2020 12:00:00 AM,0.01,PredictIt,P,Haley,0.007633587786259542
118,8/28/2020 12:00:00 AM,0.01,PredictIt,P,Ryan,0.007633587786259542
119,8/28/2020 12:00:00 AM,0.01,PredictIt,P,O'Rourke,0.007633587786259542
120,8/28/2020 12:00:00 AM,0.01,PredictIt,P,Brown,0.007633587786259542
121,8/28/2020 12:00:00 AM,0.01,PredictIt,P,Bloomberg,0.007633587786259542
122,8/28/2020 12:00:00 AM,0.01,PredictIt,P,Yang,0.007633587786259542
123,8/28/2020 12:00:00 AM,0.01,PredictIt,P,Buttigieg,0.007633587786259542
124,8/28/2020 12:00:00 AM,0.01,PredictIt,P,Gabbard,0.007633587786259542
125,8/28/2020 12:00:00 AM,0.01,PredictIt,P,Clinton,0.007633587786259542
126,8/28/2020 12:00:00 AM,0.01,PredictIt,P,Steyer,0.007633587786259542
127,8/28/2020 12:00:00 AM,0.01,PredictIt,P,Jorgensen,0.007633587786259542
128,8/28/2020 12:00:00 AM,0.01,PredictIt,P,West,0.007633587786259542
129,8/28/2020 12:00:00 AM,0.01,PredictIt,P,Hawkins,0.007633587786259542
130,8/29/2020 12:00:00 AM,0.05,PredictIt,P,Harris,0.03787878787878788
131,8/29/2020 12:00:00 AM,0.01,PredictIt,P,Warren,0.007575757575757576
132,8/29/2020 12:00:00 AM,0.01,PredictIt,P,Booker,0.007575757575757576
133,8/29/2020 12:00:00 AM,0.01,PredictIt,P,Kasich,0.007575757575757576
134,8/29/2020 12:00:00 AM,0.55,PredictIt,P,Biden,0.4166666666666667
135,8/29/2020 12:00:00 AM,0.01,PredictIt,P,Sanders,0.007575757575757576
